Name,Rating,Winery,Area,Province,Country,Varietal,Vintage,Style,Wine Type,ID
Meiomi Pinot Noir 2016,83.79399794615385,Meiomi Wines,"Central Coast, California",,USA,Pinot Noir,2016,,Red,5e94ded75fd8fd7ae861d915
MHFE Compendium 2013,83.70515728000001,Mark Anthony Cellars - VQA,Okanagan Valley,British Columbia,Canada,"Cabernet Sauvignon, Merlot, Cabernet Franc, Petit Verdot",2013,,Red,5e94df155fd8fd7ae861deeb
Krug Champagne Brut Grande CuvŽe,83.66515727999999,Krug,,Champagne,France,Champagne Blend,nv,Sparkling,White,5ad77d39128caabb7db02896
Laya Red Blend,83.6544580235294,Atalaya,Almansa,,Spain,"Grenache Tintorera, Monastrell",2016,,Red,5e94deeb5fd8fd7ae861dadf
Biker,83.65368377142856,Four Vines,Paso Robles,,USA,Zinfandel,2011,,Red,55d5ff5c62f94f030000002b
Cont'Ugo,83.63763106666666,Antinori,Tuscany,,Italy,Merlot,2012,,Red,5e94df415fd8fd7ae861e363
The Struie,83.62257863999999,Torbreck Vintners,Barossa Valley,,Australia,Syrah,2012,,Red,571fa4b9b7c4d49f0214e3ad
Diabolica Red,83.5879285935484,Mark Anthony Cellars - VQA,Okanagan Valley,,Canada,"Merlot, Petit Verdot, Shiraz",2015,,Red,5e94def75fd8fd7ae861dbff
Robert Biale Vineyards,83.57515728000001,Robert Biale Vineyards,Napa Valley,,USA,Zinfandel,2013,,Red,56bfa8cfc9c9f003002e50a1
Caymus Cabernet Sauvignon Special Selection 2009,83.56515728,Caymus  $225,Napa Valley,California,USA,Cabernet Sauvignon,2009,,Red,5ad77d38128caabb7db026bd
19 Crimes Cabernet Sauvignon,83.55567052903226,Treasury Wine Estates,South Eastern Australia,,Australia,Cabernet Sauvignon,2017,,Red,5a5e374e098b6d557a2c7dec
Curious Incident Merlot,83.55112114782608,Curious Incident,Okanagan Valley,,Canada,Merlot,2016,,Red,5e94dee35fd8fd7ae861da4b
White Oak,83.54381553333333,White Oak Vineyards,Russian River Valley,,USA,Chardonnay,2013,,White,555394275cded60300000024
Bott Freres Tradition Gewurztraminer 2017,83.53619848888889,Domaine Bott Freres,Alsace,,France,Gewurztraminer,2017,,White,5e55cb8851a6dd7bc0a64a2d
Tocado Garnacha Campo De Borja 2017,83.53041331428571,Bodegas Borsao S.A.,Zaragoza,,Spain,Grenache,2017,,Red,5e94ded15fd8fd7ae861d857
Salae Domini,83.5094733,Cantine Antonio Caggiano,Taurasi,,Italy,Aglianico,2015,,Red,5e94deee5fd8fd7ae861db27
Howell Mountain,83.50515728,Dunn Vineyards,Howell Mountain,California,USA,Cabernet Sauvignon,2012,,Red,5718e7d4dae17c3e474459b6
Delamotte Champagne Blanc de Blancs Brut,83.48515728,Delamotte,,Champagne,France,Chardonnay,nv,Sparkling,White,5ad77d38128caabb7db0283e
J Lohr Vineyards & Wines,83.4709644,J. Lohr Vineyards & Wines,California,California,USA,Cabernet Sauvignon,2011,,Red,5546648bc435ae0300000019
Lanson Black Label Brut N/V,83.46714665263157,Lanson,,,France,"Chardonnay, Pinot Noir, Pinot Meunier",nv,Sparkling,White,5e94df815fd8fd7ae861e9d1
Chardonnay,83.46515728,Summerland Winery,Santa Rita Hills,N/A,USA,Chardonnay,2011,,Red,54ff898e9b242d030000002e
Gallo Apothic Rosé 2017,83.42703145600001,Apothic,California,,USA,"Cabernet Sauvignon, Zinfandel",2017,,Rose,5e94ded85fd8fd7ae861d92d
Pahlmeyer Proprietary Red,83.39515727999999,Pahlmeyer,Napa Valley,California,USA,Red Bordeaux Blend,2014,,Red,5ad77d39128caabb7db028c9
Seven Terraces Canterbury Sauvignon Blanc 2018,83.39171909333332,Seven Terraces,Waipara,,New Zealand,Sauvignon Blanc,2018,,White,5e94ded15fd8fd7ae861d85f
El Petit Bonhomme 2016,83.37265649523809,Nathalie Bonhomme,Jumilla,,Spain,"Monastrell, Garnacha, Syrah",2016,,Red,5e94deec5fd8fd7ae861dae7
For Santo White,83.3709644,Villa Calcinaia,Tuscany,,Italy,White Blend,2014,,White,5e94def05fd8fd7ae861db4b
Chateau Ste. Michelle,83.3532233,Chateau Ste. Michelle,Columbia Valley,Washington,USA,Cabernet Sauvignon,2011,,Red,543f107772e6f00200000030
Pope Valley Eakle Ranch Merlot 2016,83.35135717894737,Pope Valley Winery,Napa Valley,,USA,Merlot,2016,,Red,5e51e56f27ae0e4b0dbdf074
Jacob's Creek Moscato Rose 2019,83.34971513411764,Jacob's Creek Wines,Barossa,South Australia,Australia,Moscato,2019,,Rose,5e94decf5fd8fd7ae861d825
Torre Migliori Montepulciano d Abruzzo,83.34654091428571,Cerulli Spinozzi,Abruzzo,,Italy,Montepulciano,2011,,Red,56db179e8564414a288560b0
Latido de Sara Wild Garnacha 2016,83.32815776666668,Latido de Sara,Navarra,,Spain,Grenache,2016,,Red,5e94dee35fd8fd7ae861da45
Solaia,83.31515728,Antinori,Tuscany,,Italy,"Cabernet Sauvignon, Sangiovese , Petit Verdot",2003,,Red,5386352bfdc66e020000000f
El Petit Bonhomme Red Blend,83.31411165,Nathalie Bonhomme,Jumilla,,Spain,"Monastrell, Garnacha, Syrah",2016,,Red,5e94deec5fd8fd7ae861dae3
Vintage Ink - Whisky Barrel Aged Red,83.29331186341464,Vintage Ink,Okanagan Valley,,Canada,Red Blend,2015,,Red,5e94def65fd8fd7ae861dbed
Caymus Cabernet Sauvignon 2013,83.28515727999999,Caymus,Napa Valley,,USA,Cabernet Sauvignon,2013,,Red,5e49b061c2f8c4663fc3d0da
Freestone Hill,83.28515727999999,Dutton-Goldfield Winery,Russian River Valley,California,USA,Pinot Noir,2014,,Red,59cae1442a5134dc4ac9a957
Finca Los Primos Rose 2018,83.27181146976746,Finca Los Primos,Mendoza,,Argentina,"Malbec, Cabernet Sauvignon",2018,,Rose,5e94decf5fd8fd7ae861d829
Joel Gott,83.2657233,Joel Gott Wines,California,California,USA,Sauvignon Blanc,2013,,White,554fbe2489f8da0300000002
Soave Classico DOC,83.23763106666667,Azienda Agricola Suavia,Veneto,N/A,Italy,"Garganega, Trebbiano",2014,,White,55c8c726e7ef2c0300000012
Mission Hill Reserve Pinot Noir 2017,83.2341624,Mission Hill Family Estate,Okanagan Valley,,Canada,Pinot Noir,2017,,Red,5cd1ea3068580d752dd5874d
Tranzind,83.21357443333333,Klinker Brick Winery,Lodi,,USA,"Zinfandel, Petite Sirah, Syrah, Cabernet Sauvignon",2012,,Red,53fcf87d43126a0200000012
Billecart-Salmon Champagne Brut Reserve,83.20515728000001,Billecart-Salmon,,Champagne,France,Champagne Blend,nv,Sparkling,White,5ad77d38128caabb7db0269c
